model,experiment,years,GMTemp,ATL3 mean,IOD stddev,Nino34 stddev,AtlNino mean,AtlNino stddev,AtlNino AnnCycAmp,AMM mean,AMM stddev,AMM AnnCycAmp,global_mean_absolute_temperatures,global_mean_precipitation,NAO DJF,PDO mon
GISTEMP,observations,124,0.132167,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,0.132167,1e+20,1e+20,1e+20
GPCC,observations,124,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,2.46575,-100000,-100000
GPCP,observations,45,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,2.6877,-9.96921e+36,-9.96921e+36
HadCRUT5-0-2,observations,45,0.46791,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,0.46791,-1e+30,-1e+30,-1e+30
HadGEM2-CC,piControl,240,13.2435,26.0593,0.567566,0.700481,26.0593,0.551117,3.72634,0.569886,0.677699,5.33957,13.2435,3.05299,1.83601,0.340327
HadGEM2-ES,piControl,336,13.7438,26.3599,0.589469,0.723449,26.3599,0.525991,3.80149,0.649318,0.602395,5.63601,13.7438,3.09447,1.90174,0.338045
HadGEM3-GC31-LL,piControl,100,13.7975,27.3724,0.481349,0.932435,27.3724,0.544193,3.72766,0.236338,0.544632,6.93825,13.7909,3.14378,2.02932,0.370675
HadISSTv1,observations,45,1e+20,26.6579,0.317071,0.866713,26.6579,0.401189,4.38928,2.14276,0.485774,7.24921,1e+20,1e+20,1e+20,0.286403
INM-CM4-8,piControl,531,13.2592,26.9893,0.239053,0.451593,26.9893,0.288224,2.36296,0.232867,0.284942,5.36277,13.2592,3.00131,1.49267,0.269874
IPSL-CM5A-LR,piControl,1000,12.0334,26.6652,0.485329,0.683311,26.6652,0.34365,4.13772,0.917335,0.411686,8.13921,12.0334,2.6578,2.26866,0.352677
IPSL-CM6A-LR,piControl,1200,12.7134,26.2005,0.406025,0.974624,26.2005,0.418954,5.84787,-0.206399,0.423937,8.22774,12.7134,1e+20,2.25689,0.33619
LOVECLIM,piControl,100,15.5308,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,15.5308,2.78124,1e+20,1e+20
MIROC-ES2L,piControl,500,14.9837,27.5918,0.450213,1.18576,27.5918,0.576555,3.41653,0.3999,0.42274,5.29871,14.9837,3.19475,1.56541,0.378984
MIROC-ESM,piControl,630,13.5989,27.1836,0.344043,0.456837,27.1836,0.327453,3.17453,0.590311,0.388295,5.15886,13.5989,2.80773,2.17386,0.240378
MPI-ESM1-2-LR,piControl,1000,13.5333,27.3964,0.484873,0.79557,27.3964,0.44081,3.29925,0.0604406,0.574184,6.89163,13.5333,2.83392,2.0876,0.396363
MPI-ESM-P,piControl,1156,13.644,27.0224,0.534518,0.756839,27.0224,0.43553,3.08556,0.330737,0.421462,5.56733,13.644,2.92763,2.10362,0.344058
MRI-CGCM3,piControl,500,13.5892,26.4595,0.349867,0.600793,26.4595,0.389696,4.09109,-0.689667,0.3612,5.46798,13.5892,2.93443,2.0466,0.253153
MRI-ESM2-0,piControl,701,13.8211,27.2271,0.583303,0.903482,27.2271,0.425186,4.69861,1.29439,0.448381,5.5514,13.8211,3.00822,2.24204,0.262849
NASA,Bootstrap,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Bootstrap,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,CDR,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,CDR,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Team,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Team,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NESM3,piControl,100,13.7292,27.5909,0.498196,0.692639,27.5909,0.491393,4.09587,-0.394217,0.546634,7.91566,13.7292,2.85558,2.01179,0.283663
NorESM1-F,piControl,200,14.5066,27.7282,0.414593,0.59744,27.7282,0.425166,3.70028,-0.185143,0.358502,6.54373,14.5066,2.84264,1.98282,0.336288
NorESM2-LM,piControl,391,14.466,27.1163,0.491139,1.27429,27.1163,0.598909,4.1092,1.47042,0.491899,6.75994,14.466,2.86195,2.20301,0.318179
UofT-CCSM-4,piControl,100,12.6076,27.0012,0.520485,0.767903,27.0012,0.342911,3.58131,-0.195583,0.324314,6.56794,12.6076,2.88231,1.65109,0.361678
