model,experiment,years,GMTemp,ATL3 mean,IOD stddev,Nino34 stddev,AtlNino mean,AtlNino stddev,AtlNino AnnCycAmp,AMM mean,AMM stddev,AMM AnnCycAmp,global_mean_absolute_temperatures,global_mean_precipitation,NAO DJF,PDO mon
FGOALS-g2,abrupt4xCO2,50,18.2332,31.296,0.310542,0.563158,31.296,0.23178,2.34402,1.02677,0.289175,6.05772,18.2332,3.1178,1.64068,0.235243
FGOALS-g3,abrupt4xCO2,50,18.4407,31.4684,0.328087,0.818402,31.4684,0.27478,2.58581,0.941714,0.276177,4.50828,18.4407,2.98428,1.74133,0.229407
FGOALS-s2,abrupt4xCO2,50,19.4834,31.628,0.450736,1.36989,31.628,0.343776,2.11073,-0.104204,0.351563,5.68404,19.4834,2.96781,2.37289,0.367109
GISS-E2-1-G,abrupt4xCO2,50,17.9135,32.3121,0.333886,0.944353,32.3121,0.352236,2.18818,-1.292,0.282176,6.36385,17.9135,3.10347,2.34485,0.355945
GISS-E2-R,abrupt4xCO2,50,17.6697,30.7675,0.261226,0.297718,30.7675,0.17087,2.26216,0.210262,0.273626,5.36064,17.6697,3.27285,1.9187,0.266956
GISTEMP,observations,124,0.132167,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,0.132167,1e+20,1e+20,1e+20
GPCC,observations,124,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,2.46575,-100000,-100000
GPCP,observations,45,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,2.6877,-9.96921e+36,-9.96921e+36
HadCRUT5-0-2,observations,45,0.46791,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,0.46791,-1e+30,-1e+30,-1e+30
HadGEM2-ES,abrupt4xCO2,50,19.9439,31.2535,0.410464,0.624514,31.2535,0.334464,3.47075,0.27,0.447062,6.36692,19.9439,3.3155,2.22653,0.392982
HadGEM3-GC31-LL,abrupt4xCO2,50,21.4944,33.5223,0.30254,0.862241,33.5223,0.36571,3.21539,-0.0466308,0.470664,7.37424,21.489,3.57328,1.78836,0.322607
HadISSTv1,observations,45,1e+20,26.6579,0.317071,0.866713,26.6579,0.401189,4.38928,2.14276,0.485774,7.24921,1e+20,1e+20,1e+20,0.286403
INM-CM4-8,abrupt4xCO2,50,16.7754,29.6141,0.219964,0.404787,29.6141,0.219477,2.09187,0.573315,0.257766,5.48114,16.7754,3.18606,1.51894,0.237599
IPSL-CM5A-LR,abrupt4xCO2,50,17.7561,31.9653,0.392349,0.689864,31.9653,0.2859,3.9399,-0.104445,0.352625,9.00885,17.7561,2.97402,2.38916,0.317543
IPSL-CM6A-LR,abrupt4xCO2,50,19.7873,31.8802,0.445335,1.24471,31.8802,0.362113,5.74609,-0.61013,0.419668,9.58492,19.7873,3.28886,2.04393,0.358398
MIROC-ES2L,abrupt4xCO2,50,19.0468,31.7632,0.593796,1.53497,31.7632,0.478826,2.81911,-0.353061,0.325799,5.8655,19.0468,3.36545,1.82131,0.340559
MIROC-ESM,abrupt4xCO2,50,19.9457,32.6844,0.203079,0.417937,32.6844,0.21586,2.19298,0.423077,0.284991,5.50076,19.9457,3.14017,1.64115,0.260493
MPI-ESM1-2-LR,abrupt4xCO2,50,18.4086,31.1883,0.550061,0.980636,31.1883,0.35399,3.84108,0.359769,0.455337,7.50853,18.4086,3.0369,2.20897,0.347928
MPI-ESM-P,abrupt4xCO2,50,19.3522,31.8846,0.711329,1.20344,31.8846,0.441462,4.06702,0.47436,0.411431,7.09706,19.3522,3.21094,2.21728,0.359265
MRI-CGCM3,abrupt4xCO2,50,17.9053,30.5698,0.347231,0.876161,30.5698,0.368134,3.74014,-0.519653,0.38052,5.62292,17.9053,3.22666,2.14637,0.252125
MRI-ESM2-0,abrupt4xCO2,50,18.535,31.8792,0.410144,1.07456,31.8792,0.418785,3.60638,-0.321076,0.344258,6.72439,18.535,3.26027,2.36554,0.238982
NASA,Bootstrap,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Bootstrap,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,CDR,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,CDR,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Team,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Team,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NESM3,abrupt4xCO2,50,20.673,32.9003,0.502974,0.714577,32.9003,0.445724,4.54692,0.0382709,0.485691,8.13593,20.673,3.20399,1.93335,0.325925
NorESM2-LM,abrupt4xCO2,50,21.1076,33.1876,0.420849,1.43546,33.1876,0.448139,3.83498,1.60467,0.422028,6.9346,21.1076,3.18353,2.4608,0.354034
AWI-ESM-1-1-LR,lgm,100,9.29983,25.4366,0.468683,0.811873,25.4366,0.481797,3.53674,-0.71897,0.513631,7.51238,9.29983,2.62064,1e+20,0.452563
BEST,observations,74,14.4286,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,14.4258,1e+20,1e+20,1e+20
CCSM4,lgm,101,8.42218,25.1812,0.583137,0.868284,25.1812,0.457635,4.15728,-0.0936713,0.35594,6.5639,8.42218,2.61607,1.53871,0.328665
CESM1,Forced,66,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM1,Forced,37,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM1,Forced,66,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM2-FV2,lgm,100,7.33418,22.8987,0.691963,0.852483,22.8987,0.514377,4.16062,1.64123,0.449607,6.25662,7.33418,1e+20,2.0761,0.426927
CESM2-WACCM-FV2,lgm,100,6.91833,22.5889,0.535858,0.87943,22.5889,0.443846,4.11394,1.76224,0.413992,6.16353,6.91833,2.5551,1.88431,0.368879
CNRM-CM5,lgm,200,10.5727,25.7753,0.58028,0.830893,25.7753,0.364744,3.27804,-0.60572,0.411352,8.46822,10.5727,2.87219,1.7945,0.339972
COSMOS-ASO,lgm,600,6.97536,23.3032,0.515454,1.77984,23.3032,0.769867,2.94186,0.373778,0.487604,5.54861,6.97536,2.3191,2.20043,0.496298
ERA20c,ERA5,124,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.00198,-32767
ERA5,1,74,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2.88842,1e+20,1e+20
ERA5,2,45,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.30534,-32767
ERA5,observations,74,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.16249,-32767
ERSSTv5,1,124,1e+20,26.3379,0.390538,0.868686,26.3379,0.481778,4.29447,2.26708,0.563218,6.8869,1e+20,1e+20,1e+20,0.32549
ERSSTv5,observations,74,1e+20,26.5671,0.405197,0.861493,26.5671,0.443993,4.30491,2.2078,0.52838,6.99375,1e+20,1e+20,1e+20,0.315107
FGOALS-g2,lgm,100,8.58874,24.4833,0.256828,0.395281,24.4833,0.326972,3.24666,0.656365,0.38923,5.7529,8.58874,2.56703,1.62393,0.226559
GISS-E2-R,lgm,100,9.48219,25.9417,0.28033,0.359817,25.9417,0.22782,1.7967,0.0425896,0.329672,4.71823,9.48219,2.90878,1.5487,0.230991
GISTEMP,observations,124,0.132167,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,0.132167,1e+20,1e+20,1e+20
GPCC,observations,124,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,2.46575,-100000,-100000
GPCP,observations,45,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,2.6877,-9.96921e+36,-9.96921e+36
