model,experiment,years,GMTemp,ATL3 mean,IOD stddev,Nino34 stddev,AtlNino mean,AtlNino stddev,AMM AnnCycAmp,global_mean_absolute_temperatures,global_mean_precipitation,NAO DJF,PDO mon
NorESM2-LM,lig127k,100,14.3805,26.9448,0.599337,1.25335,26.9448,0.592585,7.48827,14.3805,3.04146,2.15495,0.416213
ACCESS-ESM1-5,midHolocene,300,14.2119,26.3587,0.508063,0.776863,26.3587,0.544759,5.77167,14.2119,3.19515,1.69019,0.332509
AWI-ESM-1-1-LR,midHolocene,100,12.5705,26.2786,0.477558,0.628213,26.2786,0.432497,5.97965,12.5705,2.8058,2.26144,0.396849
BCC-CSM1-1,midHolocene,100,13.5752,26.3592,0.341781,0.661514,26.3592,0.368776,7.67477,13.5752,2.78226,1.92547,0.343876
CCSM4,midHolocene,301,13.0734,27.1141,0.464622,1.00864,27.1141,0.394823,6.65338,13.0734,2.91904,1.93971,0.372148
CESM2,midHolocene,700,13.8469,27.3634,0.594306,1.04237,27.3634,0.40755,7.01751,13.8469,2.92541,2.22015,0.370421
CNRM-CM5,midHolocene,200,13.3811,27.159,0.547815,0.73713,27.159,0.409514,7.86105,13.3811,3.07173,1.80892,0.304286
CSIRO-Mk3-6-0,midHolocene,100,12.7502,23.7005,1.01808,0.805909,23.7005,0.451233,5.87704,12.7502,2.89142,2.08442,0.376426
CSIRO-Mk3L-1-2,midHolocene,500,14.0356,26.7182,0.506175,0.440073,26.7182,0.262614,7.93737,14.0356,2.71882,1.37103,0.244179
EC-EARTH-2-2,midHolocene,40,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
EC-Earth3-LR,midHolocene,203,13.2468,26.4241,0.489041,0.601456,26.4241,0.516227,8.97703,13.2468,2.81773,2.24871,0.356655
EC-Earth3,midHolocene,200,13.6343,26.7314,0.554207,0.605669,26.7314,0.540191,9.1743,13.6324,2.87449,2.00327,0.346541
FGOALS-f3-L,midHolocene,500,12.512,26.0452,0.658971,1.32239,26.0452,0.372114,5.58049,12.5079,2.8198,2.00149,0.319383
FGOALS-g2,midHolocene,680,12.4365,26.6042,0.266291,0.560296,26.6042,0.275925,5.4883,12.4365,2.80295,1.52457,0.269793
FGOALS-g3,midHolocene,500,13.7846,26.7255,0.387813,0.839341,26.7255,0.382623,4.48431,13.7846,2.76846,1.90482,0.302323
FGOALS-s2,midHolocene,100,13.4827,25.6602,0.679824,1.03981,25.6602,0.428383,5.45172,13.4827,2.64203,2.21125,0.297125
GISS-E2-1-G,midHolocene,100,13.4162,27.9329,0.406098,1.12872,27.9329,0.326347,6.27074,13.4162,2.94875,2.16085,0.372108
GISS-E2-R,midHolocene,100,14.1851,27.746,0.279508,0.489765,27.746,0.184105,4.97917,14.1851,3.16707,1.91249,0.28252
HadGEM2-CC,midHolocene,35,13.4596,25.8623,0.45607,0.686247,25.8623,0.587634,6.04615,13.4596,3.06823,2.30858,0.333198
HadGEM2-ES,midHolocene,101,13.9849,26.3647,0.450176,0.649035,26.3647,0.555863,6.22339,13.9849,3.10913,1.81814,0.342281
HadGEM3-GC31-LL,midHolocene,100,13.6707,26.8915,0.49565,0.921383,26.8915,0.558268,7.35954,13.6651,3.13639,1.99467,0.392698
INM-CM4-8,midHolocene,200,12.9601,26.5354,0.249666,0.467216,26.5354,0.332456,5.65311,12.9601,2.99346,1.44256,0.322353
IPSL-CM5A-LR,midHolocene,500,11.944,26.3928,0.485895,0.564337,26.3928,0.326064,8.47966,11.944,2.65345,2.21653,0.361925
IPSL-CM6A-LR,midHolocene,550,12.3512,25.8074,0.498759,0.925615,25.8074,0.42543,8.1352,12.3512,2.96268,2.33867,0.352655
