compilation,reference,site,Proxy,Latitude,Longitude,recon_anom,weight,ACCESS-ESM1-5,AWI-ESM-1-1-LR,BCC-CSM1-1,CCSM4,CESM2,CNRM-CM5,CSIRO-Mk3-6-0,EC-Earth3,EC-Earth3-LR,FGOALS-f3-L,FGOALS-g2,FGOALS-g3,FGOALS-s2,GISS-E2-1-G,GISS-E2-R,HadGEM2-CC,HadGEM2-ES,HadGEM3-GC31-LL,INM-CM4-8,IPSL-CM5A-LR,IPSL-CM6A-LR,MIROC-ES2L,MIROC-ESM,MPI-ESM-P,MPI-ESM1-2-LR,MRI-CGCM3,MRI-ESM2-0,NESM3,NorESM1-F,NorESM2-LM,UofT-CCSM-4
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,18.75,0.005665913224220276,0.7883464276266063,-0.4968388080596924,-0.2969999126412623,-0.2771732097380055,-0.27307671970126457,-0.2666594162583351,-0.11474047868887835,-0.05257378872417799,-0.35519545648702744,-0.24867199429880069,-0.5342608094215393,-0.7112160338040636,-0.5272319386713207,-0.3778084072188421,-0.4707641154527664,-0.3750791847705841,-0.16091609001159668,-0.1584557294845581,-0.41981399059295654,-0.2893100678920746,-0.8292503730286143,-0.5428946839150353,-0.5147385434204976,-0.6218954951647492,-0.37822332808228415,-0.4234338203650883,-0.11769938095836054,-0.462411261451112,0.12347584698517183,-0.5166614353656769,-0.354771949350834,-0.35561642795801157
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,22.5,0.005822755396366119,0.7883464276266063,-0.4570953845977783,-0.30008025613744915,-0.2706818198008898,-0.30489824141758726,-0.2766576930880546,-0.10444716996463195,-0.0458575463490657,-0.35835340699548723,-0.24023413323502374,-0.5033539831638336,-0.6920365892714042,-0.5023725042119622,-0.3382991704470939,-0.48001735657453537,-0.35649866610765457,-0.1186971664428711,-0.15459895133972168,-0.38635456562042236,-0.2680117338895798,-0.8475721858537322,-0.5170099358039263,-0.4633849567706709,-0.606293708812309,-0.3746575320720964,-0.4456219946039223,-0.16541584922298605,-0.3289212813014828,-0.0008410019255555498,-0.4964887350797653,-0.4012759476900102,-0.3431158512830734
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,26.25,0.009921872988343239,0.7883464276266063,-0.40709924697875977,-0.3214904780677194,-0.2857277532533564,-0.3126083784158287,-0.28103997558355326,-0.07333833390340058,-0.07976729631069465,-0.3713252212491678,-0.23860267206576663,-0.47963814437389374,-0.6905852824418536,-0.41723925084806984,-0.3064082164751861,-0.5014181286096573,-0.37616685032844543,-0.10751855373382568,-0.16359591484069824,-0.34586405754089355,-0.26478928327560425,-0.7388040268769709,-0.48921429537620437,-0.4035251391759617,-0.5505411664777112,-0.40252743189439943,-0.45521975180715407,-0.18822082760331554,-0.24551264782864823,-0.0608909383901703,-0.4488384053111076,-0.4148335829377175,-0.31643326580524445
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,30.0,0.008681350387632847,0.7883464276266063,-0.30408406257629395,-0.3321215416528129,-0.2894511066086184,-0.3104995032397474,-0.28548403084278107,-0.047371637888225314,-0.09672354714102283,-0.3826371584942372,-0.25247662257513626,-0.45931829512119293,-0.6558787858147432,-0.4554516198113561,-0.2867239182141101,-0.5272244587540627,-0.37200768291950226,-0.09456193447113037,-0.18577444553375244,-0.32086336612701416,-0.24684900045394897,-0.6345616417066477,-0.46993636388420945,-0.3627460912633139,-0.47150456835111765,-0.4075851329022736,-0.4227788480403978,-0.20382388261472362,-0.24078585433734362,-0.1421455269834438,-0.4102304726839065,-0.4346645176410675,-0.27001259475946426
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,33.75,0.006926693022251129,0.7883464276266063,-0.30681824684143066,-0.3284050526710139,-0.2791834052290516,-0.31856375414688043,-0.30176164954900736,-0.054015904959606134,-0.09273537863089396,-0.3945094583848461,-0.2831528931094275,-0.47403308749198914,-0.6700039546482406,-0.3096061329124496,-0.32565977678622493,-0.5349991321563721,-0.341885581612587,-0.06716310977935791,-0.1909712553024292,-0.32744789123535156,-0.21013829857110977,-0.5737922237384121,-0.48298213012341273,-0.31869526698145084,-0.43846898097569187,-0.4186332986782956,-0.4156988769427971,-0.2166927519862405,-0.18694530582607427,-0.2152620665484332,-0.41784078627824767,-0.43522342294454575,-0.28371696919202805
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,37.5,0.00569450668990612,0.7883464276266063,-0.2908501625061035,-0.30575904936764414,-0.2593023789253527,-0.3271535632321242,-0.3420639336109161,-0.06143902883122206,-0.048686264834193145,-0.40384957498891144,-0.2958952438866821,-0.4729112386703491,-0.654913050774613,-0.2774958265945316,-0.33069069218876895,-0.5216661840677261,-0.30087049305438995,-0.014521121978759766,-0.1765732765197754,-0.31536316871643066,-0.2486027181148529,-0.44805330494921136,-0.491698800894884,-0.2625496976397892,-0.5537452111564869,-0.4107045236785377,-0.44686415842094585,-0.2096361585947681,-0.13594260102079855,-0.22175559745099102,-0.41973854601383187,-0.42677465826272964,-0.2927756607532501
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,41.25,0.005934772547334433,0.7883464276266063,-0.2749776840209961,-0.3286939303957035,-0.23413296902969344,-0.3286017745401033,-0.38815357536077494,-0.059474670935235244,-0.07014654744522109,-0.40532167135791314,-0.2898759112769618,-0.4686443954706192,-0.6432977825965436,-0.3635425780666992,-0.33663572614016857,-0.5082029849290848,-0.30004286766052246,0.035570740699768066,-0.15688228607177734,-0.2888065576553345,-0.24469297379255295,-0.5459623512418413,-0.48130909186133214,-0.25917688393488797,-0.6336193421762211,-0.4151870922587044,-0.43767609670547714,-0.1953060954862602,-0.12358577032742082,-0.24163898631117642,-0.4161459878087042,-0.4339553155004979,-0.25469072163105005
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,45.0,0.005803628358989954,0.7883464276266063,-0.2553985118865967,-0.33984113821554696,-0.22441186098614194,-0.31320214929149337,-0.4233590736985206,-0.045720394009297866,-0.13308075110199838,-0.402011688957493,-0.2770934487311563,-0.4518917053937912,-0.6103067576987318,-0.40965658240020275,-0.3021228463343737,-0.5312300845980644,-0.34046363830566406,0.06993639469146729,-0.1496983766555786,-0.25244879722595215,-0.23335355520248413,-0.6080509144079981,-0.43403330426536196,-0.3366510140010319,-0.5202793946046782,-0.44229893267752124,-0.4480609109462741,-0.1871035384050173,-0.05876169210749505,-0.3862025575040761,-0.399327278137207,-0.44360660016536724,-0.21606631577014918
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,48.75,0.0026462553068995476,0.7883464276266063,-0.24128186702728271,-0.34419380880305345,-0.22480056369641743,-0.2926502408214125,-0.44611576199531544,-0.03825410550800576,-0.1716347028406922,-0.39999005347722594,-0.28200706493890376,-0.4377382844686508,-0.5853858055941028,-0.39888247614726424,-0.2677191676346068,-0.5454691350460052,-0.340574711561203,0.10820281505584717,-0.13967442512512207,-0.22045636177062988,-0.23108451068401337,-0.4661740771710762,-0.4015557896594229,-0.3947553374062062,-0.37290916673739083,-0.43670183631958337,-0.4293190287874255,-0.16923988678076746,-0.00830159499697972,-0.41970089612919265,-0.3834588304162025,-0.4306647069752217,-0.18430718034505839
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,52.5,0.0016750553622841835,0.7883464276266063,-0.23254787921905518,-0.3623801970448873,-0.2110479486155235,-0.26170259641021953,-0.4470878764986991,-0.03352671414605337,-0.15704958088722532,-0.39823384469572254,-0.2911371560654046,-0.42496638000011444,-0.5701852062025081,-0.3873319460544735,-0.20998190360724675,-0.5430056750774384,-0.3265809267759323,0.15333163738250732,-0.12240540981292725,-0.19521433115005493,-0.2191382348537445,-0.3723474538499019,-0.38188858687439087,-0.39548181439707497,-0.32386211995543657,-0.43747762422791814,-0.4171483806260808,-0.14355008559560373,-0.012516416209372709,-0.42415646042121136,-0.36970944702625275,-0.40803908556699753,-0.1552304774522781
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,56.25,0.002816714346408844,0.7883464276266063,-0.23396384716033936,-0.371403003025502,-0.19329961945730553,-0.22323610753999087,-0.4358715191483497,-0.023194507128254747,-0.15048404401924825,-0.39479372496901066,-0.30851325969017385,-0.41246289014816284,-0.5583432616418645,-0.3738872770918534,-0.1779298315320448,-0.5382562726736069,-0.3119653910398483,0.1800907850265503,-0.11099445819854736,-0.18167221546173096,-0.22518222033977509,-0.37435128714569643,-0.38908448058940137,-0.36164892885026056,-0.3483298265376132,-0.42883027947733576,-0.3886400120006665,-0.10970595377260206,-0.020006933325293574,-0.33360749729395,-0.3494235724210739,-0.39600444957613945,-0.12195439636707303
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,60.0,0.002589648589491844,0.7883464276266063,-0.23681902885437012,-0.3772517602562493,-0.17025250170726644,-0.19963009660506087,-0.41874586790800095,-0.005229016278281938,-0.1365940712669394,-0.3839668324227312,-0.3141713114753508,-0.3983393013477325,-0.5509999819964064,-0.35465327836573124,-0.1835851663851129,-0.5181437656283379,-0.28619200736284256,0.176810622215271,-0.09088301658630371,-0.17725032567977905,-0.2744239568710327,-0.38662048417367445,-0.39084557168334033,-0.35527564882057827,-0.3535285304829187,-0.38520897898243545,-0.3471662828685374,-0.0929975604033918,-0.03956044923545339,-0.28086962696262396,-0.3333677798509598,-0.4000072032213212,-0.08399921655654904
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,63.75,0.0035438425838947296,0.7883464276266063,-0.23977959156036377,-0.3903693745701189,-0.1462017500121891,-0.1779993935556587,-0.39634706825017924,0.018363058964950323,-0.1437655035442045,-0.35956995721620433,-0.3054221818721889,-0.3802277147769928,-0.5454447326806724,-0.3358703644480556,-0.19413020422074856,-0.490961953997612,-0.24321888387203217,0.17590701580047607,-0.06716036796569824,-0.18119174242019653,-0.27660105377435684,-0.38113213212151564,-0.36842651056370523,-0.3864763240644754,-0.32840515619588395,-0.3611950106348152,-0.317982042712844,-0.0842211162169837,-0.041628016925013056,-0.2663382390805768,-0.32067823410034185,-0.42545862868428247,-0.04621864110231398
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,67.5,0.001691846176981926,0.7883464276266063,-0.2523592710494995,-0.4040000677620528,-0.12617033499663713,-0.15118051889113093,-0.38295483589172363,0.03872332227855268,-0.12805020471924733,-0.338177204933498,-0.2977542620964581,-0.36170561611652374,-0.5246403114374426,-0.29480357840657234,-0.18534030123009979,-0.4690888822078705,-0.1975650042295456,0.17148756980895996,-0.07025682926177979,-0.19821667671203613,-0.2521766573190689,-0.3715952167698306,-0.3522905021436391,-0.4189959154366595,-0.30878974536354786,-0.4102725491710874,-0.2884516984971959,-0.07659762714089614,-0.0445889195309194,-0.2851015015220138,-0.2993967533111572,-0.44535075128078483,-0.024864472448825815
Erb,Erb et al. 2022,,Holocene Recon. SAT (assim.),-37.96875,71.25,2.1569430828094482e-05,0.7883464276266063,-0.2537921667098999,-0.4225281118777353,-0.11444200439659033,-0.1333274179882959,-0.3746440038084984,0.05011740138291305,-0.11014355060307776,-0.3264185846208844,-0.2871190730275138,-0.34448646008968353,-0.5011788374392773,-0.27377149171661586,-0.1789744521632738,-0.45165862143039703,-0.16842691600322723,0.15088462829589844,-0.07245504856109619,-0.22149550914764404,-0.224749356508255,-0.36535361155609514,-0.34911533527996763,-0.435886255896482,-0.29726743466950634,-0.35305669878723,-0.2311724793373608,-0.07081078597378494,-0.07364922533966507,-0.2987521394125818,-0.25296198576688766,-0.4255007915198804,-0.01615155488252639
