compilation,reference,site,Proxy,Latitude,Longitude,Anom,source_table,weight
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,-57.0,2.96,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,15.0,5.2821,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,17.0,6.4535,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,-7.0,0.5511,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,33.0,0.0504,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,63.0,33.0,0.8122,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-83.0,0.821,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,-121.0,-0.406,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,19.0,-0.3988,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,-5.0,1.092,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,11.0,3.3255,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,63.0,-145.0,-0.9168,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,67.0,-153.0,-0.1963,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,23.0,-0.4426,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,13.0,1.6664,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,5.0,0.5512,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,-3.0,0.5522,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,65.0,-127.0,0.1206,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-1.0,-1.7371,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,63.0,35.0,0.29,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-3.0,0.7589,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,31.0,121.0,-1.2429,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,29.0,0.7097,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-7.0,1.1196,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,41.0,2.148,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,-3.0,2.1677,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,-117.0,1.7277,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,89.0,0.575,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-1.0,-0.4017,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,35.0,1.5703,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,21.0,0.9089,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,57.0,0.1335,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,21.0,-0.4934,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,65.0,31.0,0.7005,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,-7.0,0.7421,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,13.0,3.1745,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,15.0,2.6727,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,-3.0,1.4627,Bartlein_mat.csv,1.0
