model,compilation,n_points,rmse,bias
HadGEM3-GC31-LL,P2F,124,1.9998221313146989,-0.48726891380556675
HadGEM3-GC31-LL,Temp12k,333,1.9176669648480626,-0.36382506439471896
INM-CM4-8,Bartlein,635,2.37758204808282,-0.40017965916530346
INM-CM4-8,Erb,6144,0.503483787452637,-0.3845452016743778
INM-CM4-8,P2F,124,2.058152886403486,-0.7010515390761619
INM-CM4-8,Temp12k,335,2.0232524842401953,-0.7575000016014224
IPSL-CM5A-LR,Bartlein,635,2.3734581923543683,0.11050738278185415
IPSL-CM5A-LR,Erb,6144,0.30850921364536044,-0.17480212562703384
IPSL-CM5A-LR,P2F,124,2.010045267714006,-0.5279882927825901
IPSL-CM5A-LR,Temp12k,335,1.8904178594421999,-0.35936201976496646
IPSL-CM6A-LR,Bartlein,635,2.39943876749275,-0.421614527691597
IPSL-CM6A-LR,Erb,6144,0.5432061748318775,-0.4480244122214789
IPSL-CM6A-LR,P2F,124,2.1383036529250004,-0.8638303072240782
IPSL-CM6A-LR,Temp12k,335,2.0311265960564544,-0.8421333485342468
MIROC-ES2L,Bartlein,635,2.441020129237748,-0.5225669869606133
MIROC-ES2L,Erb,5952,0.6590137232096138,-0.5594837439315994
MIROC-ES2L,P2F,124,2.20928631125824,-0.9653026977600954
MIROC-ES2L,Temp12k,335,2.0917813264488787,-0.9425846338469103
MIROC-ESM,Bartlein,635,2.438179987552366,-0.4196133029691904
MIROC-ESM,Erb,5952,0.6698332797601118,-0.3372251470355917
MIROC-ESM,P2F,124,2.1003536718047653,-0.7731785952942551
MIROC-ESM,Temp12k,335,2.055795888846049,-0.8503477425097996
MPI-ESM-P,Bartlein,635,2.3776744027688568,-0.07862329864258764
MPI-ESM-P,Erb,5952,0.49439672923909805,-0.3252237187465305
MPI-ESM-P,P2F,124,2.0524978778592797,-0.613071178225716
MPI-ESM-P,Temp12k,335,1.9254443893369972,-0.5002057531827384
MPI-ESM1-2-LR,Bartlein,635,2.39288052684868,-0.3839141051452864
MPI-ESM1-2-LR,Erb,5952,0.6255239184812954,-0.44663952183515676
MPI-ESM1-2-LR,P2F,124,2.0910138385962695,-0.7785110823008295
MPI-ESM1-2-LR,Temp12k,335,2.023545201870429,-0.7779729686082095
MRI-CGCM3,Bartlein,635,2.379061160989873,0.1087236931967672
MRI-CGCM3,Erb,6144,0.33811194656291027,-0.11040537302163664
MRI-CGCM3,P2F,124,1.9533962938281209,-0.4234347262956983
MRI-CGCM3,Temp12k,335,1.9158899239323042,-0.2864334973801767
MRI-ESM2-0,Bartlein,635,2.3796597390894356,-0.1060759976658737
MRI-ESM2-0,Erb,6144,0.46447229550957697,-0.2638261755279263
MRI-ESM2-0,P2F,124,2.0281750347519236,-0.6566002128639307
MRI-ESM2-0,Temp12k,335,1.9437147923900577,-0.559962049760053
NESM3,Bartlein,635,2.3805080625688206,-0.2627265261885581
NESM3,Erb,5952,0.5939898043226048,-0.35112601089607826
NESM3,P2F,124,2.09969014106903,-0.6483433075616203
NESM3,Temp12k,335,2.0520282956253064,-0.6798916074257016
NorESM1-F,Bartlein,635,2.4151248064351734,-0.5016181858819573
NorESM1-F,Erb,6144,0.5590599987822535,-0.44682481505514454
NorESM1-F,P2F,124,2.1368962900859816,-0.7990338716119176
NorESM1-F,Temp12k,335,2.0449816573372797,-0.8419579344750435
NorESM2-LM,Bartlein,635,2.3862099815142783,-0.1618673440005324
NorESM2-LM,Erb,6144,0.40502226271971264,-0.3028389242290548
NorESM2-LM,P2F,124,2.0721974489350674,-0.6747275260862784
NorESM2-LM,Temp12k,335,1.9564207591992278,-0.6144435407300193
UofT-CCSM-4,Bartlein,635,2.3478310859067237,-0.15376667027421664
UofT-CCSM-4,Erb,6144,0.4807042759007353,-0.24904754711677465
UofT-CCSM-4,P2F,124,2.0709821337407006,-0.562814357517382
UofT-CCSM-4,Temp12k,335,1.9461912842711968,-0.5138799476462215
