compilation,reference,site,Proxy,Latitude,Longitude,Anom,source_table,weight
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,69.0,-8.75,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,69.0,-8.32,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,71.0,-8.95,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,67.0,71.0,-5.6667,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,39.0,73.0,-6.5,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,75.0,2.3,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,83.0,-9.7,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,83.0,-10.0,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,83.0,-9.2,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,85.0,-4.5375,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,69.0,85.0,-5.2333,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,87.0,-3.15,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,89.0,-5.05,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,69.0,89.0,-1.85,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,99.0,-2.35,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,37.0,101.0,-4.75,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,111.0,-7.95,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,35.0,135.0,-10.1,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-37.0,175.0,-5.15,Bartlein_mat_21ka.csv,1.0
Cleator,Cleator et al. 2020,,pollen MAT (assim.),67.0,-179.0,-8.365533,cleator2020_recon.csv,0.3907311284892737
Cleator,Cleator et al. 2020,,pollen MAT (assim.),71.0,-179.0,-8.286363,cleator2020_recon.csv,0.32556815445715676
Cleator,Cleator et al. 2020,,pollen MAT (assim.),67.0,-177.0,-9.008762,cleator2020_recon.csv,0.3907311284892737
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-175.0,-8.873616,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-173.0,-8.879874,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),61.0,-165.0,-6.753733,cleator2020_recon.csv,0.4848096202463371
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-165.0,-6.719114,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),61.0,-163.0,-6.049534,cleator2020_recon.csv,0.4848096202463371
Cleator,Cleator et al. 2020,,pollen MAT (assim.),63.0,-163.0,-6.044482,cleator2020_recon.csv,0.4539904997395468
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-163.0,-5.900993,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),61.0,-161.0,-5.700071,cleator2020_recon.csv,0.4848096202463371
Cleator,Cleator et al. 2020,,pollen MAT (assim.),63.0,-161.0,-5.377035,cleator2020_recon.csv,0.4539904997395468
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-161.0,-5.11767,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),67.0,-161.0,-4.858652,cleator2020_recon.csv,0.3907311284892737
Cleator,Cleator et al. 2020,,pollen MAT (assim.),61.0,-159.0,-5.559772,cleator2020_recon.csv,0.4848096202463371
Cleator,Cleator et al. 2020,,pollen MAT (assim.),63.0,-159.0,-4.858613,cleator2020_recon.csv,0.4539904997395468
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-159.0,-4.304814,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),67.0,-159.0,-4.00169,cleator2020_recon.csv,0.3907311284892737
Cleator,Cleator et al. 2020,,pollen MAT (assim.),61.0,-157.0,-5.507456,cleator2020_recon.csv,0.4848096202463371
Cleator,Cleator et al. 2020,,pollen MAT (assim.),63.0,-157.0,-4.316129,cleator2020_recon.csv,0.4539904997395468
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-157.0,-3.376921,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),69.0,-157.0,-2.556127,cleator2020_recon.csv,0.3583679495453004
Cleator,Cleator et al. 2020,,pollen MAT (assim.),71.0,-157.0,-3.701766,cleator2020_recon.csv,0.32556815445715676
Cleator,Cleator et al. 2020,,pollen MAT (assim.),63.0,-155.0,-4.036133,cleator2020_recon.csv,0.4539904997395468
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-155.0,-2.382686,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),69.0,-155.0,-1.237978,cleator2020_recon.csv,0.3583679495453004
Cleator,Cleator et al. 2020,,pollen MAT (assim.),71.0,-155.0,-2.895396,cleator2020_recon.csv,0.32556815445715676
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-153.0,-1.444458,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),69.0,-153.0,-0.32438,cleator2020_recon.csv,0.3583679495453004
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-151.0,-0.746817,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-149.0,-0.328111,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-147.0,-0.076937,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),67.0,-147.0,3.058974,cleator2020_recon.csv,0.3907311284892737
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-145.0,0.392867,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),67.0,-145.0,2.931225,cleator2020_recon.csv,0.3907311284892737
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-143.0,0.614525,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),67.0,-143.0,2.519204,cleator2020_recon.csv,0.3907311284892737
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-141.0,0.460975,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),67.0,-141.0,1.753319,cleator2020_recon.csv,0.3907311284892737
Cleator,Cleator et al. 2020,,pollen MAT (assim.),69.0,-141.0,0.161855,cleator2020_recon.csv,0.3583679495453004
Cleator,Cleator et al. 2020,,pollen MAT (assim.),65.0,-139.0,0.178599,cleator2020_recon.csv,0.42261826174069944
Cleator,Cleator et al. 2020,,pollen MAT (assim.),67.0,-139.0,0.836963,cleator2020_recon.csv,0.3907311284892737
Cleator,Cleator et al. 2020,,pollen MAT (assim.),39.0,-123.0,-3.265178,cleator2020_recon.csv,0.7771459614569709
Cleator,Cleator et al. 2020,,pollen MAT (assim.),41.0,-123.0,-3.163996,cleator2020_recon.csv,0.754709580222772
Cleator,Cleator et al. 2020,,pollen MAT (assim.),43.0,-123.0,-3.206461,cleator2020_recon.csv,0.7313537016191705
Cleator,Cleator et al. 2020,,pollen MAT (assim.),37.0,-121.0,-4.291185,cleator2020_recon.csv,0.7986355100472928
Cleator,Cleator et al. 2020,,pollen MAT (assim.),41.0,-121.0,-0.846105,cleator2020_recon.csv,0.754709580222772
Cleator,Cleator et al. 2020,,pollen MAT (assim.),43.0,-121.0,2.082333,cleator2020_recon.csv,0.7313537016191705
Cleator,Cleator et al. 2020,,pollen MAT (assim.),35.0,-119.0,-5.509564,cleator2020_recon.csv,0.8191520442889918
Cleator,Cleator et al. 2020,,pollen MAT (assim.),41.0,-119.0,0.596849,cleator2020_recon.csv,0.754709580222772
Cleator,Cleator et al. 2020,,pollen MAT (assim.),43.0,-119.0,3.334149,cleator2020_recon.csv,0.7313537016191705
Cleator,Cleator et al. 2020,,pollen MAT (assim.),33.0,-117.0,-5.695711,cleator2020_recon.csv,0.838670567945424
Cleator,Cleator et al. 2020,,pollen MAT (assim.),35.0,-117.0,-5.880289,cleator2020_recon.csv,0.8191520442889918
Cleator,Cleator et al. 2020,,pollen MAT (assim.),37.0,-117.0,-5.261527,cleator2020_recon.csv,0.7986355100472928
Cleator,Cleator et al. 2020,,pollen MAT (assim.),39.0,-117.0,-1.713819,cleator2020_recon.csv,0.7771459614569709
Cleator,Cleator et al. 2020,,pollen MAT (assim.),41.0,-117.0,1.326756,cleator2020_recon.csv,0.754709580222772
Cleator,Cleator et al. 2020,,pollen MAT (assim.),43.0,-117.0,3.754396,cleator2020_recon.csv,0.7313537016191705
Cleator,Cleator et al. 2020,,pollen MAT (assim.),33.0,-115.0,-6.616436,cleator2020_recon.csv,0.838670567945424
Cleator,Cleator et al. 2020,,pollen MAT (assim.),35.0,-115.0,-5.803238,cleator2020_recon.csv,0.8191520442889918
Cleator,Cleator et al. 2020,,pollen MAT (assim.),37.0,-115.0,-3.675307,cleator2020_recon.csv,0.7986355100472928
Cleator,Cleator et al. 2020,,pollen MAT (assim.),39.0,-115.0,-1.281432,cleator2020_recon.csv,0.7771459614569709
Cleator,Cleator et al. 2020,,pollen MAT (assim.),41.0,-115.0,1.455555,cleator2020_recon.csv,0.754709580222772
Cleator,Cleator et al. 2020,,pollen MAT (assim.),27.0,-113.0,-5.390433,cleator2020_recon.csv,0.8910065241883679
Cleator,Cleator et al. 2020,,pollen MAT (assim.),31.0,-113.0,-7.257453,cleator2020_recon.csv,0.8571673007021123
Cleator,Cleator et al. 2020,,pollen MAT (assim.),33.0,-113.0,-7.61849,cleator2020_recon.csv,0.838670567945424
Cleator,Cleator et al. 2020,,pollen MAT (assim.),35.0,-113.0,-6.92776,cleator2020_recon.csv,0.8191520442889918
Cleator,Cleator et al. 2020,,pollen MAT (assim.),37.0,-113.0,-4.293856,cleator2020_recon.csv,0.7986355100472928
Cleator,Cleator et al. 2020,,pollen MAT (assim.),39.0,-113.0,-1.444098,cleator2020_recon.csv,0.7771459614569709
Cleator,Cleator et al. 2020,,pollen MAT (assim.),41.0,-113.0,0.630953,cleator2020_recon.csv,0.754709580222772
Cleator,Cleator et al. 2020,,pollen MAT (assim.),43.0,-113.0,2.038683,cleator2020_recon.csv,0.7313537016191705
Cleator,Cleator et al. 2020,,pollen MAT (assim.),29.0,-111.0,-6.777264,cleator2020_recon.csv,0.8746197071393957
Cleator,Cleator et al. 2020,,pollen MAT (assim.),31.0,-111.0,-7.882098,cleator2020_recon.csv,0.8571673007021123
Cleator,Cleator et al. 2020,,pollen MAT (assim.),33.0,-111.0,-8.715874,cleator2020_recon.csv,0.838670567945424
Cleator,Cleator et al. 2020,,pollen MAT (assim.),35.0,-111.0,-8.39099,cleator2020_recon.csv,0.8191520442889918
Cleator,Cleator et al. 2020,,pollen MAT (assim.),37.0,-111.0,-5.256341,cleator2020_recon.csv,0.7986355100472928
