lat, lon, mat_anm_mean, mat_se_mean, mat_tstat,mat_sig, mat_sig_val,mat_npts,p
51,1,0.5327,0.6086,0.8752,0,0,7,0.651947846
37,-109,0.55,0.6089,0.9033,0,0,1,0.651808499
61,69,2.6,0.6122,4.247,1,2.6,1,0.650278131
43,3,1.1547,0.6132,1.883,0,0,6,0.64981527
39,119,3.2333,0.6149,5.2583,1,3.2333,3,0.649029352
59,-5,-0.3097,0.6171,-0.5018,0,0,6,0.648014051
39,-111,0.095,0.6187,0.1535,0,0,1,0.647276903
43,23,1.8638,0.6192,3.0102,1,1.8638,6,0.64704676
55,-113,-1.285,0.6199,-2.0731,-1,-1.285,2,0.646724734
49,91,4.8,0.6199,7.7436,1,4.8,4,0.646724734
51,-115,-1.28,0.6225,-2.0562,-1,-1.28,1,0.645530402
69,27,0.0603,0.6233,0.0968,0,0,6,0.645163475
63,23,1.0048,0.6266,1.6036,0,0,6,0.643652687
49,3,0.859,0.6282,1.3674,0,0,6,0.642921797
55,49,0.1293,0.6298,0.2054,0,0,3,0.642191959
41,-89,-0.153,0.6312,-0.2424,0,0,1,0.641554214
-19,47,4.6333,0.6326,7.3246,1,4.6333,3,0.640917275
59,85,-2.1,0.6332,-3.3167,-1,-2.1,6,0.640644547
65,65,2.8177,0.6368,4.4249,1,2.8177,3,0.639011287
65,-37,-4,0.6378,-6.2716,-1,-4,1,0.638558548
53,11,1.4447,0.638,2.2644,1,1.4447,6,0.638468049
55,17,0.7087,0.6387,1.1095,0,0,6,0.638151433
47,25,-0.4808,0.6429,-0.7479,0,0,5,0.636255959
61,79,-1.9833,0.643,-3.0845,-1,-1.9833,6,0.636210916
51,11,1.3897,0.6437,2.1588,1,1.3897,6,0.635895736
55,81,-0.7833,0.6469,-1.2109,0,0,6,0.634457465
39,23,-4.1292,0.6472,-6.3801,-1,-4.1292,6,0.634322842
53,19,-0.1878,0.652,-0.288,0,0,5,0.632173884
69,21,1.4698,0.656,2.2406,1,1.4698,6,0.630390281
43,27,0.2525,0.656,0.3849,0,0,6,0.630390281
37,29,-1.8617,0.656,-2.8378,-1,-1.8617,6,0.630390281
-3,31,-2.5292,0.6577,-3.8453,-1,-2.5292,6,0.629634228
43,-91,-2.85,0.6592,-4.3234,-1,-2.85,1,0.628968101
39,-79,-0.969,0.6603,-1.4675,0,0,1,0.628480192
51,29,-0.878,0.662,-1.3263,0,0,5,0.62772712
61,5,2.904,0.665,4.3668,1,2.904,4,0.626401043
71,29,0.2828,0.6706,0.4217,0,0,6,0.623935497
41,-107,-1.027,0.6716,-1.5292,0,0,1,0.623496563
49,1,0.338,0.6767,0.4995,0,0,5,0.621264311
51,-3,1.5165,0.68,2.2302,1,1.5165,4,0.619825532
53,-117,-1.93,0.6822,-2.8291,-1,-1.93,1,0.618868796
49,17,-1.8744,0.6825,-2.7462,-1,-1.8744,5,0.618738483
51,35,1.725,0.6829,2.5261,1,1.725,4,0.61856479
69,71,1.675,0.6832,2.4517,1,1.675,4,0.618434563
53,-131,0,0.6837,0,0,0,1,0.618217598
63,13,1.662,0.6838,2.4306,1,1.662,5,0.618174217
