model,compilation,n_points,rmse,bias,model_mean,recon_mean
MIROC-ESM,P2F,3,1.828145523129069,-1.0171521188100932,-4.580869465719835,-3.563717346909742
MPI-ESM-P,Annan,140,1.2772644896691625,1.2295514752110228,-4.27264430427515,-5.502195779486172
MPI-ESM-P,Bartlein,13,3.057193877326515,1.2721204817853395,-4.685571825906969,-5.957692307692308
MPI-ESM-P,Cleator,97,5.5111371808338525,5.387997024437252,-4.394100509905509,-9.78209753434276
MPI-ESM-P,Osman,128,2.4003306623517062,2.3452609900912944,-4.472252586257796,-6.817513576349089
MPI-ESM-P,P2F,3,1.7955890180350484,0.22982849266381486,-3.333888854245927,-3.563717346909742
MPI-ESM1-2-LR,Annan,140,1.9269797412866831,1.8783730684204738,-3.6238227110656984,-5.502195779486172
MPI-ESM1-2-LR,Bartlein,13,3.2901455880675714,1.8387617779549397,-4.118930529737368,-5.957692307692308
MPI-ESM1-2-LR,Cleator,97,6.0589611455172365,5.935716708404791,-3.84638082593797,-9.78209753434276
MPI-ESM1-2-LR,Osman,128,3.0589821792053247,3.015152159497721,-3.8023614168513684,-6.817513576349089
MPI-ESM1-2-LR,P2F,3,1.8423071161070328,0.4034207524861104,-3.160296594423631,-3.563717346909742
MRI-CGCM3,Annan,140,2.1150493196930165,2.0595646387832,-3.4426311407029715,-5.502195779486172
MRI-CGCM3,Bartlein,13,3.2763860119127064,1.9388507867668658,-4.018841520925442,-5.957692307692308
MRI-CGCM3,Cleator,97,6.2283711005569735,6.10748684722335,-3.6746106871194084,-9.78209753434276
MRI-CGCM3,Osman,128,3.3195830142041607,3.2757767584854918,-3.541736817863599,-6.817513576349089
MRI-CGCM3,P2F,3,2.2539226654324804,1.1769283052256818,-2.38678904168406,-3.563717346909742
UofT-CCSM-4,Annan,140,2.0415588024046762,1.7854728688790937,-3.716722910607079,-5.502195779486172
UofT-CCSM-4,Bartlein,13,3.3411939979544227,1.090895742147396,-4.866796565544911,-5.957692307692308
UofT-CCSM-4,Cleator,97,5.9417035057935,5.753892629267237,-4.028204905075523,-9.78209753434276
UofT-CCSM-4,Osman,128,3.083101449919158,2.91569173484299,-3.901821841506101,-6.817513576349089
UofT-CCSM-4,P2F,3,2.8420119777002144,0.9445812651477782,-2.6191360817619636,-3.563717346909742
