model,compilation,n_points,rmse,bias,model_mean,recon_mean
FGOALS-s2,Temp12k,41,1.4930778572376313,-0.3129317217352934,0.24213160877690168,0.5550633305121951
GISS-E2-1-G,Bartlein,83,1.8318694526610202,-1.0596767192231604,-0.0397128638014736,0.9791724137931035
GISS-E2-1-G,Erb,32,0.5592374619560188,-0.5518206398021206,0.034473146926576145,0.5996387601185784
GISS-E2-1-G,P2F,7,2.1370510933883438,0.776814650217083,-0.0500125314930507,-0.8268271817101335
GISS-E2-1-G,Temp12k,39,1.6194595898000996,-0.7123224952214531,-0.08447097704196586,0.5550633305121951
GISS-E2-R,Bartlein,83,1.6622820013857051,-0.49899623804207305,0.5209676173796136,0.9791724137931035
GISS-E2-R,Erb,32,0.17841153732682022,-0.04027122479113699,0.5460225619375598,0.5996387601185784
GISS-E2-R,P2F,7,2.59880106208603,1.5249012657972327,0.6980740840870997,-0.8268271817101335
GISS-E2-R,Temp12k,39,1.5336282956659497,-0.17913770036908622,0.448713817810401,0.5550633305121951
HadGEM2-CC,Bartlein,87,1.5691317341007882,0.06311335907493976,1.042285772868043,0.9791724137931035
HadGEM2-CC,Erb,40,0.5470339186549881,0.5215823799724819,1.1212211400910603,0.5996387601185784
HadGEM2-CC,P2F,7,3.2036940454332683,2.2980163825230635,1.4711892008129304,-0.8268271817101335
HadGEM2-CC,Temp12k,41,1.7797599260261725,0.5682543208875569,1.123317651399752,0.5550633305121951
HadGEM2-ES,Bartlein,87,1.572762034498862,0.13082001576843852,1.109992429561542,0.9791724137931035
HadGEM2-ES,Erb,40,0.6677693540713355,0.5358307314910777,1.1354694916096562,0.5996387601185784
HadGEM2-ES,P2F,7,2.8610620753029874,1.8999680433637796,1.0731408616536458,-0.8268271817101335
HadGEM2-ES,Temp12k,41,1.6699435904974127,0.6227593387573978,1.1778226692695928,0.5550633305121951
HadGEM3-GC31-LL,Bartlein,87,1.6340175915077064,-0.5948049090315098,0.3843675047615935,0.9791724137931035
HadGEM3-GC31-LL,Erb,32,0.19431017432745298,-0.17262711089565133,0.41366667583304545,0.5996387601185784
HadGEM3-GC31-LL,P2F,7,2.5465157148034256,1.442204189338438,0.6153770076283046,-0.8268271817101335
HadGEM3-GC31-LL,Temp12k,39,1.531200709420513,-0.249690100449653,0.37816141772983414,0.5550633305121951
INM-CM4-8,Bartlein,87,1.760852035047267,-0.8508903766041513,0.12828203718895193,0.9791724137931035
INM-CM4-8,Erb,40,0.528912108979759,-0.4793429084232366,0.12029585169534182,0.5996387601185784
INM-CM4-8,P2F,7,2.170863536067683,0.9137876049162814,0.08696042320614772,-0.8268271817101335
INM-CM4-8,Temp12k,41,1.5949948651147052,-0.4231604699589112,0.13190286055328398,0.5550633305121951
IPSL-CM5A-LR,Bartlein,87,1.5674872516935714,-0.5065635721623458,0.4726088416307578,0.9791724137931035
IPSL-CM5A-LR,Erb,40,0.2204968780521356,-0.08588638396150342,0.513752376157075,0.5996387601185784
IPSL-CM5A-LR,P2F,7,2.116271422628921,0.9229652431475948,0.09613806143746118,-0.8268271817101335
IPSL-CM5A-LR,Temp12k,41,1.5143249520101325,-0.17412986623647525,0.38093346427571984,0.5550633305121951
IPSL-CM6A-LR,Bartlein,87,1.8868939159812745,-1.1228407863804986,-0.14366837258739537,0.9791724137931035
IPSL-CM6A-LR,Erb,40,0.7717436843935025,-0.7331396730621889,-0.1335009129436103,0.5996387601185784
IPSL-CM6A-LR,P2F,7,1.9927422077975194,0.5450287808168067,-0.28179840089332664,-0.8268271817101335
IPSL-CM6A-LR,Temp12k,41,1.6737365347391306,-0.7148539962769336,-0.1597906657647384,0.5550633305121951
MIROC-ES2L,Bartlein,87,1.9043815291923556,-1.1322434707472848,-0.15307105695418138,0.9791724137931035
MIROC-ES2L,Erb,40,0.7577374752083634,-0.7308954363515814,-0.13125667623300302,0.5996387601185784
MIROC-ES2L,P2F,7,2.107464918022413,0.6540750423196614,-0.17275213939047201,-0.8268271817101335
MIROC-ES2L,Temp12k,41,1.7012161180495142,-0.7132147296422585,-0.15815139913006343,0.5550633305121951
MIROC-ESM,Bartlein,87,1.7978963650569941,-0.986108029557366,-0.006935615764262652,0.9791724137931035
MIROC-ESM,Erb,40,0.6640905872066688,-0.6040733311793418,-0.004434571060763351,0.5996387601185784
MIROC-ESM,P2F,7,2.103448184795363,0.7705339918045979,-0.056293189905535335,-0.8268271817101335
MIROC-ESM,Temp12k,41,1.6269887966555536,-0.5671968029919376,-0.01213347247974256,0.5550633305121951
MPI-ESM-P,Bartlein,87,1.691452631004682,-0.8198907746121863,0.15928163918091717,0.9791724137931035
MPI-ESM-P,Erb,40,0.44287831547483775,-0.40853446481638694,0.1911042953021915,0.5996387601185784
MPI-ESM-P,P2F,7,2.245409848168979,0.9755438065890869,0.14871662487895357,-0.8268271817101335
MPI-ESM-P,Temp12k,41,1.58767723970594,-0.40469634563468726,0.15036698487750783,0.5550633305121951
MPI-ESM1-2-LR,Bartlein,87,1.872494618603205,-1.123294444770661,-0.1441220309775577,0.9791724137931035
MPI-ESM1-2-LR,Erb,40,0.734815117175336,-0.7150917429310713,-0.11545298281249279,0.5996387601185784
MPI-ESM1-2-LR,P2F,7,2.0896201232690568,0.6151719408629844,-0.21165524084714887,-0.8268271817101335
MPI-ESM1-2-LR,Temp12k,41,1.6759007328772861,-0.7068723283557079,-0.1518089978435128,0.5550633305121951
MRI-CGCM3,Bartlein,87,1.6692152945714387,-0.6401244507964852,0.33904796299661827,0.9791724137931035
MRI-CGCM3,Erb,40,0.2830365149281926,-0.25287420369954366,0.3467645564190348,0.5996387601185784
MRI-CGCM3,P2F,7,2.3707979435771063,1.301043008512986,0.47421582680285257,-0.8268271817101335
MRI-CGCM3,Temp12k,41,1.5716661216424253,-0.20965947524607115,0.34540385526612394,0.5550633305121951
MRI-ESM2-0,Bartlein,87,1.7025721029477554,-0.8405203540068534,0.13865205978625,0.9791724137931035
