lat, lon, mat_anm_mean, mat_se_mean, mat_tstat,mat_sig, mat_sig_val,mat_npts
   57.000000,    71.000000,        -8.9500,         1.3136,        -6.8133,        -1.0000,        -8.9500,     4
   67.000000,    71.000000,        -5.6667,         1.5148,        -3.7410,        -1.0000,        -5.6667,     3
   39.000000,    73.000000,        -6.5000,         2.0153,        -3.2253,        -1.0000,        -6.5000,     1
   41.000000,    75.000000,         2.3000,         0.5411,         4.2502,         1.0000,         2.3000,     2
   53.000000,    83.000000,        -9.7000,         3.2143,        -3.0178,        -1.0000,        -9.7000,     1
   55.000000,    83.000000,       -10.0000,         2.0408,        -4.9000,        -1.0000,       -10.0000,     1
   59.000000,    83.000000,        -9.2000,         1.4976,        -6.1433,        -1.0000,        -9.2000,     3
   57.000000,    85.000000,        -4.5375,         0.8217,        -5.5223,        -1.0000,        -4.5375,     8
   69.000000,    85.000000,        -5.2333,         1.4983,        -3.4929,        -1.0000,        -5.2333,     3
   53.000000,    87.000000,        -3.1500,         1.4577,        -2.1609,        -1.0000,        -3.1500,     2
   49.000000,    89.000000,        -5.0500,         1.6309,        -3.0964,        -1.0000,        -5.0500,     2
   69.000000,    89.000000,        -1.8500,         1.1552,        -1.6015,         0.0000,         0.0000,     4
   51.000000,    99.000000,        -2.3500,         1.6428,        -1.4305,         0.0000,         0.0000,     2
   37.000000,   101.000000,        -4.7500,         1.5306,        -3.1034,        -1.0000,        -4.7500,     1
   47.000000,   111.000000,        -7.9500,         1.2271,        -6.4784,        -1.0000,        -7.9500,     2
   35.000000,   135.000000,       -10.1000,         1.1362,        -8.8889,        -1.0000,       -10.1000,     2
  -37.000000,   175.000000,        -5.1500,         1.1362,        -4.5325,        -1.0000,        -5.1500,     2
