1. PROJECT
------------

Title: Glacial and Holocene Climates Reconstructed by Vegetation-Model Inversion
Dates: 01/10/15 - 31/09/19
Funding organisation: NERC, ERC
Grant no.: NERC award reference 1859127, ERC (Global Change 2.0: Unlocking the past for a clearer future (grant number 694481))

2. DATASET
------------

Title: A new multi-variable benchmark for Last Glacial Maximum climate simulations

Description: Reconstruction of climate anomalies for the Last Glacial Maximum (LGM, ca 21,000 years ago), made by combining pollen based reconstructions (from Bartlein et al. 2011) and averaged outputs of LGM simulations from the 3rd round of the Palaeoclimate Model Intercomparison Project (PMIP, Braconnot et al. 2011), under a variational data assimilation technique. This reconstruction is designed to be used for data-model comparison, specifically against the results of PMIP4. The dataset consists of 6 variables: moisture index (the ratio precipitation and equilibrium evapotranspiration), mean annual precipitation (mm), mean annual temperature (degrees C), mean temperature of the coldest month (degrees C), mean temperature of the warmest month (degrees C), growing degree days above 5 degrees C (day degrees C). The standard deviation of these variables is also given.

This dataset supersedes the version published at http://dx.doi.org/10.17864/1947.229, where an incorrect value for MI SD was used in Australia, a non-linear MAP non-dimensionalisation was used (instead of the linear one here), the background error covariance matrix was square rooted improperly and incorrect values for MI were used in central Asia.

Publication Year: 2020
Creator(s): S.F. Cleator, S.P. Harrison, N.K. Nichols, I.C. Prentice, I. Roulstone
Organisation(s): University of Surrey, University of Reading, Imperial College London
Rights-holder(s): S.F. Cleator, University of Surrey, University of Reading, Imperial College London

References:
    Bartlein et al. 2011 - P. J. Bartlein, S. P. Harrison, S. Brewer, S. Connor, B. A. S. Davis, K. Gajewski, J. Guiot, T. I. Harrison-Prentice, A. Henderson, O. Peyron, I. C. Prentice, M. Scholze, H. Seppä, B. Shuman, S. Sugita, R. S. Thompson, A. E. Viau, J. Williams, and H. Wu. Pollen-based continental climate reconstructions at 6 and 21 ka: a global synthesis. Climate Dynamics, 37:775–802, 2011.
    Braconnot et al. 2011 - Pascale Braconnot, Sandy P. Harrison, Bette Otto-Bliesner, Ayako Abe-Ouchi, Johann Jungclaus, and Jean-Yves Peterschmitt. The Paleoclimate Modeling Intercomparison Project contribution to CMIP5. CLIVAR Exchanges, 16(56):15–19, 2011.

3. TERMS OF USE
-----------------
Copyright 2020 Sean F. Cleator, University of Surrey, University of Reading, Imperial College London. This dataset is licensed by the rights-holder(s) under a Creative Commons Attribution 4.0 International Licence: https://creativecommons.org/licenses/by/4.0/.

4. CONTENTS
------------
File listing:
    LGM_reconstruction.csv - Last Glacial Maximum reconstruction anomalies at each grid cell.

5. METHOD and PROCESSING
--------------------------

This dataset is made by combining site-based pollen reconstructions with aggregated outputs of PMIP3. The possible climates are varied and the most likely climate is found under a 3D-Variational data assimilation scheme. The uncertainty from this process is then used to screen out areas where the pollen reconstructions have had a minimal effect. By using a vegetation model, the effect of changing CO_2 concentrations on pollen reconstructions is also accounted for. The error of the resulting reconstruction is also calculated and given as 1 standard deviation from the variables.

The individual fields are: 
    lat - grid cell centre latitude
    lon - grid cell centre longitude
    MI - moisture index
    MAP - mean annual precipitation (mm)
    MAT - mean annual temperature (degrees C)
    MTCO - mean temperature of the coldest month (degrees C)
    MTWA - mean temperature of the warmest month (degrees C)
    GDD5 - growing degree days above 5 degrees C (days degrees C)
    MI SD - moisture index standard deviation
    MAP SD - mean annual precipitation standard deviation (mm)
    MAT SD - mean annual temperature standard deviation (degrees C)
    MTCO SD - mean temperature of the coldest month standard deviation (degrees C)
    MTWA SD - mean temperature of the warmest month standard deviation (degrees C)
    GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C)

# Reconstruction of anomalies of the Last Glacial Maximum (ca 21000 years ago) made by combining pollen based reconstructions and average PMIP3 outputs under a variational data assimilation technique.
# 
# Variables are given as:
# 
# lat - grid cell centre latitude
# lon - grid cell centre longitude
# MI - moisture index
# MAP - mean annual precipitation (mm)
# MAT - mean annual temperature (degrees C)
# MTCO - mean temperature of the coldest month (degrees C)
# MTWA - mean temperature of the warmest month (degrees C)
# GDD5 - growing degree days above 5 degrees C (days degrees C)
# MI SD - moisture index standard deviation
# MAP SD - mean annual precipitation standard deviation (mm)
# MAT SD - mean annual temperature standard deviation (degrees C)
# MTCO SD - mean temperature of the coldest month standard deviation (degrees C)
# MTWA SD - mean temperature of the warmest month standard deviation (degrees C)
# GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C).
# 
# NaN values represent situations where a reconstruction isn't given.
# 
# lat, lon, MI, MAP, MAT, MTCO, MTWA, GDD5, MI SD, MAP SD, MAT SD, MTCO SD, MTWA SD, GDD5 SD
17.000000,43.000000,-0.036760,  nan,  nan,  nan,  nan,  nan,0.002846,  nan,  nan,  nan,  nan,  nan
19.000000,43.000000,-0.055115,  nan,  nan,  nan,  nan,  nan,0.008226,  nan,  nan,  nan,  nan,  nan
21.000000,43.000000,-0.039311,  nan,  nan,  nan,-5.726300,  nan,0.003827,  nan,  nan,  nan,1.686240,  nan
23.000000,43.000000,-0.035395,  nan,  nan,  nan,  nan,  nan,0.006020,  nan,  nan,  nan,  nan,  nan
25.000000,43.000000,-0.030755,-70.259000,-6.989542,-7.015250,-6.771800,-2551.170000,0.008490,72.116100,1.226740,1.354950,1.442780,447.760000
27.000000,43.000000,-0.029855,-71.155000,-7.474090,-7.489400,-7.251200,-2697.380000,0.009462,67.382100,1.187820,1.312300,1.423200,399.497000
29.000000,43.000000,-0.034238,-70.458600,-7.972990,-8.144090,-7.656000,-2788.450000,0.004912,62.519200,1.132330,1.253950,1.385690,320.934000
31.000000,43.000000,-0.036348,-67.519200,-8.411456,-8.966018,-8.007400,-2829.130000,0.002406,58.369300,1.084120,1.212210,1.395890,309.734000
33.000000,43.000000,-0.036383,-67.796300,-8.857562,-9.770795,-8.301500,-2931.550000,0.004054,54.486700,1.023060,1.124820,1.354010,296.487000
35.000000,43.000000,-0.021710,-72.294000,-9.149127,-10.557397,-8.334700,-2960.940000,0.019413,59.746800,0.958431,1.054850,1.266480,279.695000
37.000000,43.000000,0.110652,-46.894000,-9.279671,-12.365900,-7.783300,-1715.500000,0.070406,60.840100,0.808662,1.071400,1.024990,140.088000
39.000000,43.000000,0.164205,-21.230000,-9.301584,-12.430900,-7.040200,-1171.639000,0.070337,51.295000,0.745607,1.076090,0.889669,103.441000
41.000000,43.000000,0.218077,-38.647000,-8.816840,-11.642800,-6.144000,-970.569000,0.086602,49.700200,0.642600,0.951454,0.780649,67.310900
43.000000,43.000000,0.239613,-90.840000,-7.951765,-11.112900,-5.431200,-1254.230000,0.086115,52.460700,0.567016,0.866203,0.743836,94.174300
45.000000,43.000000,  nan,-15.881000,-8.831102,-12.768700,-5.982800,-1305.860000,  nan,58.423400,0.668340,0.873011,0.969126,119.869000
47.000000,43.000000,  nan,16.673000,-10.861281,-17.092000,-6.693800,-1387.240000,  nan,63.002700,0.860397,1.278390,1.138280,144.105000
49.000000,43.000000,  nan,-4.349000,-12.164269,-19.289600,-6.918400,-1395.490000,  nan,60.312500,1.018910,1.565970,1.260190,160.648000
51.000000,43.000000,  nan,-49.438000,-12.527635,-19.458100,-6.440100,-1262.587000,  nan,63.294600,1.151160,1.666380,1.390430,179.597000
53.000000,43.000000,  nan,-112.932000,-12.188791,-19.140800,-5.316200,-1071.349000,  nan,61.791700,1.173150,1.657520,1.361400,116.054000
55.000000,43.000000,-0.095493,-159.484000,-11.894405,-19.183200,-4.197400,-899.151000,0.128520,57.778800,1.099280,1.625720,1.233220,106.592000
57.000000,43.000000,-0.262547,-200.650000,-11.588527,-19.033400,-3.195700,-769.103000,0.117645,50.940200,1.012420,1.596130,1.123150,99.113700
59.000000,43.000000,-0.486074,-253.748000,-11.493789,-18.750300,-2.215100,-610.434000,0.126323,48.240200,1.075570,1.694280,1.236320,108.887000
61.000000,43.000000,-0.653900,-275.878000,-12.435149,-19.399700,-2.357600,-537.505000,0.152158,54.724800,1.376800,2.051900,1.676660,145.251000
63.000000,43.000000,-0.754677,-283.962000,-14.077523,-20.280800,-3.281800,-574.426000,0.193753,61.335100,1.785690,2.403320,2.453860,203.503000
65.000000,43.000000,-0.744668,-265.630000,-15.872415,-21.079600,-4.532210,  nan,0.237975,64.567700,2.093260,2.620110,3.200980,  nan
-25.000000,45.000000,  nan,  nan,-3.476436,-3.712400,-3.249500,-1268.900000,  nan,  nan,0.977238,1.245160,1.162540,356.692000
-23.000000,45.000000,  nan,  nan,-3.917889,-3.953900,-3.822200,-1430.040000,  nan,  nan,0.947268,1.089930,1.260910,345.753000
-21.000000,45.000000,  nan,  nan,-3.696741,-3.555900,-3.790100,-1349.300000,  nan,  nan,0.756927,0.768415,1.150150,276.278000
-19.000000,45.000000,  nan,  nan,-3.698260,-3.743100,-3.578900,-1349.870000,  nan,  nan,0.699043,0.581794,1.003010,255.151000
-17.000000,45.000000,  nan,  nan,-3.469321,-3.601000,-3.262500,-1266.290000,  nan,  nan,0.779019,0.771132,1.076900,284.342000
3.000000,45.000000,-0.056687,  nan,-3.440677,-3.485100,-3.065300,-1255.860000,0.052899,  nan,1.055360,1.312740,1.212850,385.208000
5.000000,45.000000,-0.039176,  nan,-3.993877,  nan,-3.749100,-1457.780000,0.023109,  nan,1.131660,  nan,1.393730,413.054000
7.000000,45.000000,-0.028632,  nan,-4.005382,  nan,  nan,-1461.970000,0.033581,  nan,1.112560,  nan,  nan,406.083000
9.000000,45.000000,-0.028856,  nan,  nan,  nan,-4.048000,  nan,0.023949,  nan,  nan,  nan,1.334920,  nan
15.000000,45.000000,-0.000155,  nan,  nan,  nan,  nan,  nan,0.118297,  nan,  nan,  nan,  nan,  nan
17.000000,45.000000,-0.017236,  nan,  nan,  nan,  nan,  nan,0.030635,  nan,  nan,  nan,  nan,  nan
19.000000,45.000000,-0.030427,  nan,  nan,  nan,  nan,  nan,0.005570,  nan,  nan,  nan,  nan,  nan
21.000000,45.000000,-0.031116,  nan,  nan,  nan,  nan,  nan,0.002939,  nan,  nan,  nan,  nan,  nan
23.000000,45.000000,-0.027149,  nan,  nan,  nan,  nan,  nan,0.005345,  nan,  nan,  nan,  nan,  nan
25.000000,45.000000,-0.024606,-58.552000,-6.854473,-6.773020,-6.675900,-2501.890000,0.009088,72.119200,1.246470,1.375240,1.487630,454.963000
27.000000,45.000000,-0.026952,-63.200000,-7.228775,-7.199240,-7.080900,-2632.320000,0.008982,67.737200,1.176640,1.277910,1.470210,396.426000
29.000000,45.000000,-0.033699,-68.063900,-7.734604,-7.934240,-7.556800,-2764.370000,0.004777,64.625700,1.121210,1.225160,1.446240,345.428000
31.000000,45.000000,-0.041762,-75.651600,-8.222318,-8.692960,-8.038800,-2913.980000,0.001818,56.154000,1.111840,1.191830,1.496570,345.612000
33.000000,45.000000,-0.048920,-90.972700,-8.832511,-9.560238,-8.552300,-3000.940000,0.007840,58.096300,1.060770,1.131210,1.436720,310.059000
35.000000,45.000000,-0.031435,-101.561000,-8.975010,-10.253760,-8.636100,-2201.470000,0.032525,66.105800,0.921637,1.011850,1.259490,223.149000
37.000000,45.000000,0.025679,-77.530000,-9.320672,-11.807200,-8.143900,-1865.250000,0.053083,64.710100,0.840248,1.080030,1.096640,170.392000
39.000000,45.000000,-0.035030,-88.922000,-8.772553,-11.793000,-6.766900,-926.241000,0.031564,56.629400,0.812854,1.149690,1.053870,89.363900
41.000000,45.000000,-0.043381,-111.961000,-7.653185,-10.666690,-5.052400,-1541.930000,0.054196,53.943400,0.679893,0.981499,0.901759,147.749000
43.000000,45.000000,0.010060,-114.157000,-7.288693,-10.425300,-4.806200,-1155.640000,0.101297,63.159100,0.659119,0.923491,0.912037,113.064000
45.000000,45.000000,  nan,3.733000,-8.435476,-13.093400,-5.128100,-1242.320000,  nan,64.867100,0.762060,1.017260,1.051680,133.111000
47.000000,45.000000,  nan,29.637000,-10.284769,-16.938200,-5.741400,-1278.880000,  nan,68.392900,0.962926,1.468960,1.202260,155.321000
49.000000,45.000000,  nan,5.026000,-11.400252,-18.447000,-6.083000,-1280.890000,  nan,63.393700,1.095120,1.690710,1.315280,169.647000
51.000000,45.000000,  nan,-36.181000,-11.711711,-18.277000,-5.773700,-1227.170000,  nan,64.920100,1.190530,1.714890,1.395990,183.568000
53.000000,45.000000,  nan,-100.037000,-11.334877,-17.878300,-4.704300,-1004.717000,  nan,64.307500,1.207590,1.694750,1.387570,189.589000
55.000000,45.000000,-0.117858,-154.791000,-11.004538,-17.870100,-3.590600,-862.762000,0.129279,60.401700,1.160190,1.687560,1.299630,112.682000
57.000000,45.000000,-0.245435,-190.661000,-10.752138,-17.786700,-2.722200,-727.454000,0.137566,55.700500,1.127430,1.705760,1.267510,112.333000
59.000000,45.000000,-0.471495,-242.690000,-10.763069,-17.672700,-1.937900,-580.511000,0.136311,51.305700,1.191910,1.788570,1.385070,122.545000
61.000000,45.000000,-0.692381,-276.663000,-11.579440,-18.366700,-1.967100,-502.105000,0.141805,53.981900,1.427970,2.065870,1.711250,150.587000
63.000000,45.000000,-0.789533,-281.015000,-12.954733,-19.330600,-2.517300,-497.021000,0.195375,63.317700,1.761310,2.361420,2.249800,192.626000
65.000000,45.000000,-0.757711,-252.717000,-14.463885,-20.274800,-3.248700,  nan,0.252535,66.880400,2.147250,2.709140,2.919570,  nan
-23.000000,47.000000,  nan,  nan,-3.575834,-3.705300,-3.521900,-1305.190000,  nan,  nan,0.851032,0.969782,1.136260,310.627000
-21.000000,47.000000,  nan,  nan,-3.997210,-3.897020,-4.023400,-1458.970000,  nan,  nan,0.777790,0.657589,1.206120,283.893000
-19.000000,47.000000,  nan,  nan,-3.978362,-3.843900,-3.948900,-1452.120000,  nan,  nan,0.671139,0.227232,1.153860,244.966000
-17.000000,47.000000,  nan,  nan,-3.809030,-3.699100,-3.510300,-1390.280000,  nan,  nan,0.737662,0.598803,1.028260,269.246000
5.000000,47.000000,-0.047989,  nan,-3.409492,  nan,  nan,-1244.470000,0.010173,  nan,1.117180,  nan,  nan,407.771000
7.000000,47.000000,-0.043421,  nan,  nan,  nan,  nan,  nan,0.007877,  nan,  nan,  nan,  nan,  nan
9.000000,47.000000,-0.012019,  nan,  nan,  nan,  nan,  nan,0.014468,  nan,  nan,  nan,  nan,  nan
15.000000,47.000000,-0.029465,  nan,  nan,  nan,  nan,  nan,0.030775,  nan,  nan,  nan,  nan,  nan
17.000000,47.000000,-0.025767,  nan,  nan,  nan,  nan,  nan,0.008850,  nan,  nan,  nan,  nan,  nan
19.000000,47.000000,-0.027881,  nan,  nan,  nan,-4.757800,  nan,0.002205,  nan,  nan,  nan,1.600020,  nan
21.000000,47.000000,-0.023950,  nan,  nan,  nan,  nan,  nan,0.001932,  nan,  nan,  nan,  nan,  nan
23.000000,47.000000,-0.023125,  nan,  nan,  nan,  nan,  nan,0.004064,  nan,  nan,  nan,  nan,  nan
25.000000,47.000000,-0.023240,-50.866100,-6.633778,-6.740150,-6.327200,-2421.340000,0.006283,74.946000,1.253360,1.410360,1.505970,457.475000
27.000000,47.000000,-0.029287,-59.577900,-6.947314,-7.186230,-6.663900,-2535.790000,0.005307,70.536100,1.178330,1.288630,1.499810,430.090000
29.000000,47.000000,-0.039095,-72.109000,-7.369911,-7.798510,-7.150500,-2655.970000,0.003797,64.440300,1.157630,1.209990,1.564300,391.979000
31.000000,47.000000,-0.057737,-98.581900,-7.954000,-8.326730,-7.945500,-2862.080000,0.005021,65.770400,1.129740,1.146770,1.559320,384.074000
33.000000,47.000000,-0.045221,-123.858000,-8.524820,-9.356980,-8.571000,-2144.220000,0.032688,66.331400,0.996289,1.093990,1.352550,237.249000
35.000000,47.000000,-0.016094,-119.813000,-9.736275,-11.506900,-9.381800,-1787.455000,0.044957,66.896400,0.970274,1.167660,1.292030,173.818000
37.000000,47.000000,0.000578,-90.322000,-9.243876,-11.506000,-8.176500,-1739.970000,0.049061,70.557600,0.961073,1.218050,1.307470,168.621000
39.000000,47.000000,-0.024309,-112.888000,-7.834482,-10.561860,-6.042800,-1558.730000,0.066754,64.504300,0.864220,1.150780,1.176330,192.079000
41.000000,47.000000,-0.001292,-121.940000,-6.980821,-10.082300,-4.602800,-652.366000,0.105296,61.125900,0.778760,1.042110,1.076820,90.190100
43.000000,47.000000,  nan,-86.714000,-7.182008,-11.108100,-4.027100,-1235.600000,  nan,65.446200,0.792695,1.089560,1.070900,158.686000
45.000000,47.000000,  nan,23.970000,-8.445862,-14.183200,-4.237500,-1168.540000,  nan,70.043800,0.946799,1.360680,1.190710,156.957000
47.000000,47.000000,  nan,42.572000,-9.969711,-17.623500,-4.598400,-1148.750000,  nan,72.724200,1.140450,1.843740,1.345480,174.620000
49.000000,47.000000,  nan,8.056000,-10.803845,-17.967700,-5.303700,-1152.960000,  nan,64.631200,1.175390,1.862620,1.359760,176.752000
51.000000,47.000000,  nan,-28.497000,-10.998164,-17.390600,-5.105800,-1088.460000,  nan,66.269100,1.220040,1.782200,1.377690,185.184000
53.000000,47.000000,  nan,-84.416000,-10.626744,-16.800800,-4.237900,-938.320000,  nan,64.353000,1.212850,1.705260,1.362450,190.291000
55.000000,47.000000,-0.089154,-133.959000,-10.299252,-16.677800,-3.292600,-814.294000,0.129940,61.792800,1.178910,1.694290,1.308660,189.945000
57.000000,47.000000,-0.231922,-175.014000,-10.116710,-16.712400,-2.439600,-701.035000,0.142083,59.873800,1.177900,1.746420,1.316060,117.436000
59.000000,47.000000,-0.384760,-211.086000,-10.264956,-16.760600,-1.915400,-584.372000,0.159089,58.143900,1.257020,1.849760,1.441170,128.761000
61.000000,47.000000,-0.593152,-245.487000,-10.946203,-17.366100,-1.842800,-504.400000,0.163802,59.955600,1.450540,2.077740,1.702350,151.707000
63.000000,47.000000,-0.717695,-255.015000,-12.080753,-18.203900,-2.227100,-456.740000,0.209562,66.265100,1.687080,2.297680,2.086060,181.966000
65.000000,47.000000,-0.728841,-242.959000,-13.587925,-19.332900,-2.797800,  nan,0.285277,68.160300,2.018260,2.607300,2.595270,  nan
-17.000000,49.000000,0.243408,  nan,-3.594075,-3.577000,-3.518400,-1311.830000,0.080670,  nan,0.760073,0.735246,1.041720,277.427000
-15.000000,49.000000,  nan,  nan,-3.283455,-3.136500,-3.210300,-1198.480000,  nan,  nan,0.821507,0.966222,1.064530,299.850000
-13.000000,49.000000,  nan,  nan,-2.763005,-2.630300,-2.853400,-1008.500000,  nan,  nan,0.865648,1.002210,1.043360,315.961000
7.000000,49.000000,-0.052002,  nan,  nan,  nan,  nan,  nan,0.002463,  nan,  nan,  nan,  nan,  nan
9.000000,49.000000,-0.012334,  nan,  nan,  nan,  nan,  nan,0.013585,  nan,  nan,  nan,  nan,  nan
11.000000,49.000000,-0.002416,  nan,  nan,  nan,  nan,  nan,0.002367,  nan,  nan,  nan,  nan,  nan
15.000000,49.000000,-0.042924,  nan,  nan,  nan,  nan,  nan,0.013405,  nan,  nan,  nan,  nan,  nan
17.000000,49.000000,-0.027561,  nan,  nan,  nan,-4.062300,  nan,0.005670,  nan,  nan,  nan,1.815650,  nan
19.000000,49.000000,-0.019362,  nan,  nan,  nan,  nan,  nan,0.000953,  nan,  nan,  nan,  nan,  nan
21.000000,49.000000,-0.017982,  nan,  nan,  nan,  nan,  nan,0.000990,  nan,  nan,  nan,  nan,  nan
23.000000,49.000000,-0.017360,  nan,  nan,  nan,  nan,  nan,0.001656,  nan,  nan,  nan,  nan,  nan
25.000000,49.000000,-0.023407,-46.381300,-6.298640,-6.951410,-5.573600,-2298.990000,0.003006,74.603400,1.299730,1.444070,1.644540,474.401000
27.000000,49.000000,-0.032140,-60.481700,-6.526853,-7.558000,-5.546200,-2382.290000,0.003488,69.329500,1.311630,1.202060,1.945320,478.745000
31.000000,49.000000,-0.070833,-120.733000,-7.699707,-8.021000,-7.876500,-2791.150000,0.012212,77.786100,1.144550,1.106870,1.614600,390.363000
33.000000,49.000000,-0.067063,-153.929000,-8.651379,-9.697700,-8.849900,-1708.720000,0.039272,83.083000,1.084560,1.191810,1.447470,196.998000
35.000000,49.000000,-0.050200,-129.154000,-9.635407,-10.998600,-9.500600,-2161.390000,0.036127,76.777900,1.165530,1.332630,1.567160,271.584000
37.000000,49.000000,-0.035358,-139.785000,-8.106000,-10.135350,-7.105200,-1944.090000,0.094016,77.705200,1.019630,1.239490,1.425770,234.890000
39.000000,49.000000,-0.040842,-114.981000,-7.030301,-9.644250,-5.131000,-1621.730000,0.080769,66.864000,0.938812,1.126400,1.313580,220.504000
41.000000,49.000000,-0.034574,-68.996000,-6.911940,-9.732110,-4.317000,-1377.650000,0.046502,76.253700,0.934387,1.164850,1.222840,216.116000
43.000000,49.000000,  nan,-14.355000,-7.465114,-11.490700,-3.984700,-1244.000000,  nan,68.463600,1.015680,1.332800,1.160760,193.338000
45.000000,49.000000,  nan,26.417000,-8.628093,-13.770400,-4.418900,-1252.560000,  nan,67.655600,1.140370,1.520740,1.322030,191.488000
47.000000,49.000000,  nan,38.836000,-9.597552,-17.035700,-4.140800,-1102.810000,  nan,70.275100,1.261160,1.998450,1.442020,193.601000
49.000000,49.000000,  nan,8.203000,-10.305639,-17.685300,-4.562000,-1039.720000,  nan,66.114300,1.277160,2.091840,1.417890,186.222000
51.000000,49.000000,  nan,-28.337000,-10.327908,-16.474200,-4.548300,-965.910000,  nan,66.874300,1.236090,1.824930,1.356730,185.104000
53.000000,49.000000,  nan,-71.324000,-10.051833,-15.951500,-3.837500,-880.360000,  nan,65.583600,1.195810,1.720870,1.306570,185.214000
55.000000,49.000000,-0.077807,-119.915000,-9.725383,-15.684400,-3.072100,-760.986000,0.127015,62.859000,1.150940,1.676520,1.246520,184.228000
57.000000,49.000000,-0.216868,-164.967000,-9.554688,-15.745200,-2.215300,-682.315000,0.148775,61.875700,1.184140,1.747410,1.316210,195.257000
59.000000,49.000000,-0.342990,-195.116000,-9.817017,-15.941100,-1.883500,-574.453000,0.178700,61.764100,1.290850,1.887530,1.461220,131.716000
61.000000,49.000000,-0.527290,-223.710000,-10.418873,-16.453300,-1.815500,-503.542000,0.182963,62.654900,1.464180,2.084820,1.681850,151.804000
63.000000,49.000000,-0.640142,-232.633000,-11.417319,-17.205000,-2.094200,-435.294000,0.218853,65.426900,1.647390,2.249800,1.973590,175.099000
65.000000,49.000000,-0.729914,-232.711000,-12.731073,-18.230800,-2.525100,  nan,0.269524,66.476500,1.916040,2.466030,2.384700,  nan
17.000000,51.000000,-0.025341,  nan,  nan,  nan,  nan,  nan,0.008455,  nan,  nan,  nan,  nan,  nan
19.000000,51.000000,-0.011928,  nan,  nan,  nan,  nan,  nan,0.001047,  nan,  nan,  nan,  nan,  nan
21.000000,51.000000,-0.014706,  nan,  nan,  nan,  nan,  nan,0.000553,  nan,  nan,  nan,  nan,  nan
23.000000,51.000000,-0.015652,  nan,  nan,  nan,  nan,  nan,0.001201,  nan,  nan,  nan,  nan,  nan
25.000000,51.000000,-0.022493,-43.814500,-5.812559,  nan,-4.281600,-2121.600000,0.001941,70.695700,1.415670,  nan,2.040100,516.721000
29.000000,51.000000,-0.073204,-126.787600,-6.529805,-7.448830,-6.083300,-2383.360000,0.010456,86.569300,1.408120,1.082110,2.276410,513.963000
31.000000,51.000000,-0.084352,-148.259000,-7.799000,-8.178190,-8.186700,-1712.370000,0.022210,92.749900,1.255040,1.296070,1.661650,229.954000
33.000000,51.000000,-0.074831,-122.473600,-8.797933,-9.490130,-9.212600,-2057.400000,0.011718,84.947700,1.297340,1.440210,1.714370,304.738000
35.000000,51.000000,-0.058475,-119.138000,-8.431747,-9.296350,-8.545000,-2441.510000,0.029149,77.308300,1.199860,1.319830,1.664150,311.772000
37.000000,51.000000,-0.005341,-147.238000,-7.075347,-9.021080,-5.809100,-2028.850000,0.100092,81.251000,1.123790,1.284250,1.548340,298.974000
39.000000,51.000000,-0.025026,-92.621000,-6.637297,-9.341030,-4.448900,-1539.160000,0.094858,91.715900,1.145900,1.285240,1.527240,275.084000
41.000000,51.000000,  nan,-20.949000,-6.787939,-10.308800,-3.948100,-1298.080000,  nan,69.547600,1.158400,1.400880,1.486240,267.781000
43.000000,51.000000,  nan,10.647000,-7.240946,-11.301400,-3.955000,-1197.680000,  nan,63.103200,1.155190,1.520960,1.336460,217.261000
45.000000,51.000000,  nan,19.145000,-8.179999,-13.083100,-4.317700,-1193.260000,  nan,63.862800,1.184680,1.643880,1.325860,190.048000
47.000000,51.000000,  nan,25.525000,-9.009444,-15.600000,-4.219900,-1097.670000,  nan,68.782600,1.226670,1.961000,1.371860,183.465000
49.000000,51.000000,  nan,-0.356000,-9.731695,-16.837500,-4.087900,-988.740000,  nan,66.867800,1.344680,2.204310,1.481900,195.579000
51.000000,51.000000,  nan,-39.339000,-9.616366,-15.360000,-4.081100,-904.660000,  nan,66.340600,1.222690,1.806330,1.317610,182.422000
53.000000,51.000000,0.041270,-77.820000,-9.375618,-14.882800,-3.460400,-798.340000,0.132884,64.736200,1.141270,1.661660,1.226090,176.357000
55.000000,51.000000,-0.084456,-120.818000,-9.136163,-14.724900,-2.793000,-710.832000,0.132238,61.865500,1.080190,1.608370,1.164750,172.884000
57.000000,51.000000,-0.219393,-157.465000,-9.062225,-14.818300,-2.127000,-650.388000,0.145886,62.390300,1.140940,1.696170,1.264740,141.633000
59.000000,51.000000,-0.373045,-195.796000,-9.441202,-15.180000,-1.936400,-560.745000,0.165216,61.141000,1.291320,1.880550,1.453880,131.804000
61.000000,51.000000,-0.528262,-215.923000,-10.015258,-15.632700,-1.915600,-485.112000,0.172600,61.980500,1.456420,2.059330,1.655830,150.822000
63.000000,51.000000,-0.601832,-216.317000,-10.908112,-16.270800,-2.155900,-429.899000,0.204637,63.003700,1.603580,2.192360,1.886190,169.533000
65.000000,51.000000,-0.650465,-211.476000,-11.984001,-17.076700,-2.447900,-390.224000,0.250062,63.741200,1.834120,2.370020,2.221390,191.890000
67.000000,51.000000,  nan,-181.732000,-13.565566,-18.457200,-2.692200,  nan,  nan,65.336200,1.952930,2.350090,2.853670,  nan
17.000000,53.000000,-0.021604,  nan,  nan,  nan,  nan,  nan,0.006198,  nan,  nan,  nan,  nan,  nan
19.000000,53.000000,-0.008715,  nan,  nan,  nan,  nan,  nan,0.000950,  nan,  nan,  nan,  nan,  nan
21.000000,53.000000,-0.012937,  nan,  nan,  nan,  nan,  nan,0.000475,  nan,  nan,  nan,  nan,  nan
23.000000,53.000000,-0.015332,  nan,  nan,  nan,  nan,  nan,0.001311,  nan,  nan,  nan,  nan,  nan
29.000000,53.000000,-0.053791,-114.730000,-6.939422,-7.074990,-7.074600,-2011.610000,0.022927,88.955500,1.332910,1.380010,1.670630,310.920000
31.000000,53.000000,-0.063794,-108.954800,-7.749377,-7.905440,-8.398900,-2270.910000,0.009336,87.598700,1.346350,1.427970,1.768810,351.717000
33.000000,53.000000,-0.054589,-81.506800,-7.801103,-8.070890,-8.464100,-2276.650000,0.002086,76.517100,1.287460,1.414990,1.757650,335.419000
35.000000,53.000000,-0.050590,-85.612000,-7.320851,-7.849210,-7.543000,-2113.570000,0.013806,75.982300,1.191380,1.287030,1.693760,343.453000
37.000000,53.000000,-0.053056,-119.801000,-6.557859,-8.322380,-5.330000,-1924.420000,0.075070,88.150500,1.203080,1.323360,1.640640,347.958000
39.000000,53.000000,-0.035103,-58.453000,-6.411049,-8.820370,-4.559500,-1582.520000,0.025162,82.854300,1.234580,1.399020,1.616880,292.859000
41.000000,53.000000,  nan,-5.060200,-6.497469,-9.613960,-4.052300,-1291.780000,  nan,63.666000,1.195780,1.449710,1.509960,272.085000
43.000000,53.000000,  nan,9.484000,-6.959822,-10.581500,-4.417600,-1174.200000,  nan,64.977100,1.127230,1.516350,1.395980,242.197000
45.000000,53.000000,  nan,16.022000,-7.587538,-12.300300,-4.244600,-1113.480000,  nan,64.607000,1.183700,1.695990,1.444810,217.948000
